,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0,0.0,616.0,136.0,397.0,388.0,201.0,442.0,376.0,656.0,381.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,498.0,96.0,444.0,277.0,607.0,499.0,764.0,511.0,620.0,680.0,613.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,198.0,709.0,304.0,504.0,602.0,760.0,653.0,902.0,736.0,376.0,824.0
3,0.0,0.0,490.0,40.0,617.0,171.0,727.0,204.0,631.0,310.0,625.0,538.0,357.0,611.0,523.0,829.0,340.0,845.0,611.0,1010.0,0.0,0.0
4,539.0,82.0,601.0,270.0,436.0,484.0,277.0,480.0,420.0,665.0,423.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,250.0,258.0,406.0,484.0,754.0,253.0,823.0,0.0,0.0,652.0,1010.0
6,498.0,79.0,448.0,268.0,616.0,515.0,779.0,542.0,632.0,710.0,635.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,171.0,253.0,334.0,463.0,614.0,240.0,671.0,111.0,740.0,581.0,868.0
8,492.0,87.0,551.0,271.0,381.0,527.0,210.0,539.0,381.0,722.0,0.0,0.0,390.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,100.0,982.0,364.0,631.0,839.0,995.0,922.0,0.0,0.0,0.0,0.0
10,0.0,0.0,495.0,70.0,623.0,207.0,727.0,255.0,634.0,346.0,638.0,560.0,372.0,686.0,533.0,925.0,352.0,959.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,249.0,754.0,406.0,520.0,752.0,751.0,824.0,934.0,937.0,360.0,1012.0
12,0.0,0.0,0.0,0.0,0.0,0.0,256.0,13.0,399.0,183.0,402.0,429.0,697.0,535.0,487.0,838.0,716.0,926.0,0.0,0.0,0.0,0.0
13,536.0,124.0,487.0,303.0,617.0,526.0,787.0,539.0,638.0,692.0,631.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,578.0,115.0,481.0,262.0,358.0,292.0,469.0,406.0,478.0,601.0,716.0,739.0,551.0,986.0,737.0,1016.0,0.0,0.0,0.0,0.0
15,0.0,0.0,486.0,109.0,598.0,255.0,724.0,283.0,607.0,391.0,602.0,595.0,358.0,701.0,507.0,947.0,348.0,965.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,61.0,520.0,351.0,238.0,481.0,406.0,793.0,226.0,902.0,0.0,0.0,0.0,0.0
17,480.0,129.0,535.0,313.0,414.0,532.0,261.0,526.0,403.0,688.0,412.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,112.0,605.0,370.0,286.0,518.0,478.0,835.0,291.0,895.0,150.0,1003.0,0.0,0.0
19,499.0,126.0,453.0,288.0,577.0,480.0,745.0,507.0,578.0,614.0,566.0,916.0,304.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,220.0,7.0,336.0,81.0,361.0,358.0,665.0,468.0,475.0,808.0,674.0,860.0,812.0,958.0,0.0,0.0
21,439.0,124.0,501.0,315.0,349.0,484.0,222.0,511.0,342.0,643.0,363.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,148.0,124.0,304.0,408.0,767.0,97.0,904.0,0.0,0.0,0.0,0.0
23,0.0,0.0,539.0,69.0,436.0,220.0,307.0,253.0,429.0,352.0,456.0,584.0,680.0,673.0,530.0,905.0,677.0,938.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,649.0,31.0,968.0,49.0,680.0,373.0,673.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,238.0,46.0,364.0,186.0,358.0,424.0,656.0,530.0,451.0,839.0,680.0,916.0,0.0,0.0,0.0,0.0
26,0.0,0.0,394.0,201.0,641.0,490.0,895.0,572.0,665.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,507.0,114.0,414.0,264.0,294.0,300.0,406.0,406.0,403.0,598.0,649.0,743.0,472.0,961.0,665.0,1018.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,49.0,545.0,367.0,249.0,474.0,427.0,794.0,222.0,874.0,0.0,0.0,0.0,0.0
29,457.0,241.0,507.0,406.0,397.0,592.0,277.0,610.0,391.0,740.0,388.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,366.0,0.0,0.0,231.0,498.0,421.0,815.0,216.0,853.0,0.0,0.0,0.0,0.0
31,499.0,129.0,453.0,292.0,571.0,480.0,740.0,511.0,566.0,640.0,589.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,63.0,397.0,354.0,686.0,480.0,480.0,779.0,680.0,853.0,814.0,926.0,0.0,0.0
33,457.0,117.0,508.0,277.0,385.0,486.0,226.0,507.0,378.0,652.0,409.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,508.0,67.0,409.0,219.0,280.0,247.0,403.0,352.0,426.0,556.0,655.0,680.0,498.0,911.0,656.0,955.0,758.0,1009.0,0.0,0.0
35,0.0,0.0,475.0,103.0,590.0,246.0,727.0,286.0,586.0,384.0,602.0,649.0,345.0,749.0,504.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,57.0,361.0,273.0,671.0,396.0,510.0,676.0,673.0,718.0,827.0,802.0,378.0,914.0
37,548.0,124.0,507.0,304.0,643.0,478.0,769.0,505.0,643.0,634.0,652.0,853.0,357.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,486.0,105.0,595.0,210.0,692.0,252.0,590.0,348.0,604.0,524.0,370.0,619.0,499.0,839.0,361.0,859.0,0.0,0.0,0.0,0.0
39,0.0,0.0,557.0,100.0,448.0,214.0,349.0,240.0,439.0,339.0,448.0,523.0,689.0,614.0,560.0,833.0,706.0,850.0,0.0,0.0,457.0,1018.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,240.0,312.0,679.0,733.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,61.0,545.0,348.0,238.0,442.0,433.0,737.0,261.0,802.0,144.0,898.0,553.0,991.0
42,498.0,129.0,451.0,295.0,583.0,490.0,722.0,515.0,586.0,650.0,578.0,889.0,280.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,55.0,559.0,286.0,262.0,405.0,432.0,692.0,258.0,733.0,566.0,925.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,400.0,722.0,484.0,962.0,703.0,276.0,916.0
45,447.0,124.0,496.0,285.0,370.0,486.0,241.0,515.0,361.0,640.0,370.0,881.0,679.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,178.0,166.0,403.0,505.0,910.0,187.0,1001.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,48.0,764.0,229.0,495.0,704.0,770.0,739.0,979.0,911.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,64.0,435.0,277.0,734.0,385.0,574.0,682.0,757.0,688.0,0.0,0.0,472.0,896.0
49,489.0,135.0,444.0,309.0,580.0,475.0,697.0,511.0,577.0,635.0,587.0,853.0,298.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
